cve_id,cwe_id,publish_date,update_date,score,severity,confidentiality_impact,integrity_impact,availability_impact,access_complexity,vulnerability_classification,project,lang,num_files_changed,file_extensions,summary
CVE-2012-2673,CWE-189,2012-07-25,,5.0,Medium,,Partial,,Low,Overflow ,bdwgc,C,10,[],"Multiple integer overflows in the (1) GC_generic_malloc and (2) calloc functions in malloc.c, and the (3) GC_generic_malloc_ignore_off_page function in mallocx.c in Boehm-Demers-Weiser GC (libgc) before 7.2 make it easier for context-dependent attackers to perform memory-related attacks such as buffer overflows via a large size value, which causes less memory to be allocated than expected."
CVE-2012-2669,CWE-20,2012-12-27,,2.1,Low,,Partial,,Low,,linux,C,10,[],"The main function in tools/hv/hv_kvp_daemon.c in hypervkvpd, as distributed in the Linux kernel before 3.4.5, does not validate the origin of Netlink messages, which allows local users to spoof Netlink communication via a crafted connector message."
CVE-2012-2390,CWE-399,2012-06-13,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],Memory leak in mm/hugetlb.c in the Linux kernel before 3.4.2 allows local users to cause a denial of service (memory consumption or system crash) via invalid MAP_HUGETLB mmap operations.
CVE-2012-2385,CWE-399,2012-06-29,,4.0,Medium,,,Partial,Low,DoS ,mosh,C++,0,[],The terminal dispatcher in mosh before 1.2.1 allows remote authenticated users to cause a denial of service (long loop and CPU consumption) via an escape sequence with a large repeat count value.
CVE-2012-2384,CWE-189,2012-06-13,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,10,[],Integer overflow in the i915_gem_do_execbuffer function in drivers/gpu/drm/i915/i915_gem_execbuffer.c in the Direct Rendering Manager (DRM) subsystem in the Linux kernel before 3.3.5 on 32-bit platforms allows local users to cause a denial of service (out-of-bounds write) or possibly have unspecified other impact via a crafted ioctl call.
CVE-2012-2383,CWE-189,2012-06-13,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,10,[],Integer overflow in the i915_gem_execbuffer2 function in drivers/gpu/drm/i915/i915_gem_execbuffer.c in the Direct Rendering Manager (DRM) subsystem in the Linux kernel before 3.3.5 on 32-bit platforms allows local users to cause a denial of service (out-of-bounds write) or possibly have unspecified other impact via a crafted ioctl call.
CVE-2012-2375,CWE-189,2012-06-13,,4.6,Medium,,,Complete,High,DoS ,linux,C,10,[],"The __nfs4_get_acl_uncached function in fs/nfs/nfs4proc.c in the NFSv4 implementation in the Linux kernel before 3.3.2 uses an incorrect length variable during a copy operation, which allows remote NFS servers to cause a denial of service (OOPS) by sending an excessive number of bitmap words in an FATTR4_ACL reply.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2011-4131."
CVE-2012-2373,CWE-362,2012-08-09,,4.0,Medium,,,Complete,High,DoS ,linux,C,0,[],"The Linux kernel before 3.4.5 on the x86 platform, when Physical Address Extension (PAE) is enabled, does not properly use the Page Middle Directory (PMD), which allows local users to cause a denial of service (panic) via a crafted application that triggers a race condition."
CVE-2012-2319,CWE-264,2012-05-17,,7.2,High,Complete,Complete,Complete,Low,Overflow +Priv ,linux,C,0,[],"Multiple buffer overflows in the hfsplus filesystem implementation in the Linux kernel before 3.3.5 allow local users to gain privileges via a crafted HFS plus filesystem, a related issue to CVE-2009-4020."
CVE-2012-2313,CWE-264,2012-06-13,,1.2,Low,,,Partial,High,,linux,C,0,[],"The rio_ioctl function in drivers/net/ethernet/dlink/dl2k.c in the Linux kernel before 3.3.7 does not restrict access to the SIOCSMIIREG command, which allows local users to write data to an Ethernet adapter via an ioctl call."
CVE-2012-2136,CWE-20,2012-08-09,,7.2,High,Complete,Complete,Complete,Low,DoS Overflow +Priv ,linux,C,10,[],"The sock_alloc_send_pskb function in net/core/sock.c in the Linux kernel before 3.4.5 does not properly validate a certain length value, which allows local users to cause a denial of service (heap-based buffer overflow and system crash) or possibly gain privileges by leveraging access to a TUN/TAP device."
CVE-2012-2133,CWE-399,2012-07-03,,4.0,Medium,,,Complete,High,DoS +Priv ,linux,C,0,[],"Use-after-free vulnerability in the Linux kernel before 3.3.6, when huge pages are enabled, allows local users to cause a denial of service (system crash) or possibly gain privileges by interacting with a hugetlbfs filesystem, as demonstrated by a umount operation that triggers improper handling of quota data."
CVE-2012-2127,CWE-119,2012-06-21,,5.0,Medium,,,Partial,Low,DoS Overflow ,linux,C,10,[],"fs/proc/root.c in the procfs implementation in the Linux kernel before 3.2 does not properly interact with CLONE_NEWPID clone system calls, which allows remote attackers to cause a denial of service (reference leak and memory consumption) by making many connections to a daemon that uses PID namespaces to isolate clients, as demonstrated by vsftpd."
CVE-2012-2123,CWE-264,2012-05-17,,7.2,High,Complete,Complete,Complete,Low,Bypass ,linux,C,10,[],"The cap_bprm_set_creds function in security/commoncap.c in the Linux kernel before 3.3.3 does not properly handle the use of file system capabilities (aka fcaps) for implementing a privileged executable file, which allows local users to bypass intended personality restrictions via a crafted application, as demonstrated by an attack that uses a parent process to disable ASLR."
CVE-2012-2121,CWE-264,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,0,[],"The KVM implementation in the Linux kernel before 3.3.4 does not properly manage the relationships between memory slots and the iommu, which allows guest OS users to cause a denial of service (memory leak and host OS crash) by leveraging administrative access to the guest OS to conduct hotunplug and hotplug operations on devices."
CVE-2012-2100,CWE-189,2012-07-03,,7.1,High,,,Complete,Medium,DoS ,linux,C,10,[],"The ext4_fill_flex_info function in fs/ext4/super.c in the Linux kernel before 3.2.2, on the x86 platform and unspecified other platforms, allows user-assisted remote attackers to trigger inconsistent filesystem-groups data and possibly cause a denial of service via a malformed ext4 filesystem containing a super block with a large FLEX_BG group size (aka s_log_groups_per_flex value).  NOTE: this vulnerability exists because of an incomplete fix for CVE-2009-4307."
CVE-2012-1910,,2012-08-06,,7.5,High,Partial,Partial,Partial,Low,DoS Exec Code ,bitcoin,C++,0,[],"Bitcoin-Qt 0.5.0.x before 0.5.0.5; 0.5.1.x, 0.5.2.x, and 0.5.3.x before 0.5.3.1; and 0.6.x before 0.6.0rc4 on Windows does not use MinGW multithread-safe exception handling, which allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via crafted Bitcoin protocol messages."
CVE-2012-1836,CWE-119,2012-03-21,,7.5,High,Partial,Partial,Partial,Low,Exec Code Overflow ,inspircd,C++,10,[],Heap-based buffer overflow in dns.cpp in InspIRCd 2.0.5 might allow remote attackers to execute arbitrary code via a crafted DNS query that uses compression.
CVE-2012-1601,CWE-399,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,0,[],The KVM implementation in the Linux kernel before 3.3.6 allows host OS users to cause a denial of service (NULL pointer dereference and host OS crash) by making a KVM_CREATE_IRQCHIP ioctl call after a virtual CPU already exists.
CVE-2012-1584,CWE-189,2012-09-06,,4.3,Medium,,,Partial,Medium,DoS Overflow ,taglib,C++,10,[],"Integer overflow in the mid function in toolkit/tbytevector.cpp in TagLib 1.7 and earlier allows context-dependent attackers to cause a denial of service (application crash) via a crafted file header field in a media file, which triggers a large memory allocation."
CVE-2012-1583,CWE-399,2012-06-16,,5.0,Medium,,,Partial,Low,DoS ,linux,C,10,[],"Double free vulnerability in the xfrm6_tunnel_rcv function in net/ipv6/xfrm6_tunnel.c in the Linux kernel before 2.6.22, when the xfrm6_tunnel module is enabled, allows remote attackers to cause a denial of service (panic) via crafted IPv6 packets."
CVE-2012-1571,CWE-119,2012-07-17,,4.3,Medium,,,Partial,Medium,DoS Overflow ,file,C,10,[],file before 5.11 and libmagic allow remote attackers to cause a denial of service (crash) via a crafted Composite Document File (CDF) file that triggers (1) an out-of-bounds read or (2) an invalid pointer dereference.
CVE-2012-1179,CWE-264,2012-05-17,,5.2,Medium,,,Complete,Medium,DoS ,linux,C,0,[],"The Linux kernel before 3.3.1, when KVM is used, allows guest OS users to cause a denial of service (host OS crash) by leveraging administrative access to the guest OS, related to the pmd_none_or_clear_bad function and page faults for huge pages."
CVE-2012-1176,CWE-119,2012-08-26,,5.0,Medium,,,Partial,Low,DoS Overflow ,pyfribidi,C,0,[],Buffer overflow in the fribidi_utf8_to_unicode function in PyFriBidi before 0.11.0 allows remote attackers to cause a denial of service (application crash) via a 4-byte utf-8 sequence.
CVE-2012-1146,,2012-05-17,,10.0,,Complete,Complete,Complete,Low,DoS ,linux,C,10,[],"The mem_cgroup_usage_unregister_event function in mm/memcontrol.c in the Linux kernel before 3.2.10 does not properly handle multiple events that are attached to the same eventfd, which allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact by registering memory threshold events."
CVE-2012-1108,CWE-20,2012-09-06,,4.3,Medium,,,Partial,Medium,DoS ,taglib,C++,10,[],The parse function in ogg/xiphcomment.cpp in TagLib 1.7 and earlier allows remote attackers to cause a denial of service (crash) via a crafted vendorLength field in an ogg file.
CVE-2012-1107,,2012-09-06,,4.3,Medium,,,Partial,Medium,DoS ,taglib,C++,10,[],"The analyzeCurrent function in ape/apeproperties.cpp in TagLib 1.7 and earlier allows context-dependent attackers to cause a denial of service (application crash) via a crafted sampleRate in an ape file, which triggers a divide-by-zero error."
CVE-2012-1097,,2012-05-17,,7.2,High,Complete,Complete,Complete,Low,DoS ,linux,C,0,[],"The regset (aka register set) feature in the Linux kernel before 3.2.10 does not properly handle the absence of .get and .set methods, which allows local users to cause a denial of service (NULL pointer dereference) or possibly have unspecified other impact via a (1) PTRACE_GETREGSET or (2) PTRACE_SETREGSET ptrace call."
CVE-2012-1090,CWE-264,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"The cifs_lookup function in fs/cifs/dir.c in the Linux kernel before 3.2.10 allows local users to cause a denial of service (OOPS) via attempted access to a special file, as demonstrated by a FIFO."
CVE-2012-1013,,2012-06-07,,4.0,Medium,,,Partial,Low,DoS ,krb5,C,10,[],"The check_1_6_dummy function in lib/kadm5/srv/svr_principal.c in kadmind in MIT Kerberos 5 (aka krb5) 1.8.x, 1.9.x, and 1.10.x before 1.10.2 allows remote authenticated administrators to cause a denial of service (NULL pointer dereference and daemon crash) via a KRB5_KDB_DISALLOW_ALL_TIX create request that lacks a password."
CVE-2012-0957,CWE-16,2012-12-21,,4.9,Medium,Complete,,,Low,+Info ,linux,C,10,[],The override_release function in kernel/sys.c in the Linux kernel before 3.4.16 allows local users to obtain sensitive information from kernel stack memory via a uname system call in conjunction with a UNAME26 personality.
CVE-2012-0879,CWE-20,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"The I/O implementation for block devices in the Linux kernel before 2.6.33 does not properly handle the CLONE_IO feature, which allows local users to cause a denial of service (I/O instability) by starting multiple processes that share an I/O context."
CVE-2012-0863,CWE-310,2012-04-30,,2.1,Low,Partial,,,Low,,mumble,C++,0,[],"Mumble 1.2.3 and earlier uses world-readable permissions for .local/share/data/Mumble/.mumble.sqlite files in home directories, which might allow local users to obtain a cleartext password and configuration data by reading a file."
CVE-2012-0807,CWE-119,2012-01-26,,5.1,Medium,Partial,Partial,Partial,High,Exec Code Overflow ,suhosin,C,0,[],"Stack-based buffer overflow in the suhosin_encrypt_single_cookie function in the transparent cookie-encryption feature in the Suhosin extension before 0.9.33 for PHP, when suhosin.cookie.encrypt and suhosin.multiheader are enabled, might allow remote attackers to execute arbitrary code via a long string that is used in a Set-Cookie HTTP header."
CVE-2012-0207,CWE-399,2012-05-17,,7.8,High,,,Complete,Low,DoS ,linux,C,10,[],The igmp_heard_query function in net/ipv4/igmp.c in the Linux kernel before 3.2.1 allows remote attackers to cause a denial of service (divide-by-zero error and panic) via IGMP packets.
CVE-2012-0058,CWE-399,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],The kiocb_batch_free function in fs/aio.c in the Linux kernel before 3.2.2 allows local users to cause a denial of service (OOPS) via vectors that trigger incorrect iocb management.
CVE-2012-0045,,2012-07-03,,4.7,Medium,,,Complete,Medium,DoS ,linux,C,0,[],"The em_syscall function in arch/x86/kvm/emulate.c in the KVM implementation in the Linux kernel before 3.2.14 does not properly handle the 0f05 (aka syscall) opcode, which allows guest OS users to cause a denial of service (guest OS crash) via a crafted application, as demonstrated by an NASM file."
CVE-2012-0044,CWE-189,2012-05-17,,7.2,High,Complete,Complete,Complete,Low,DoS Overflow +Priv Mem. Corr. ,linux,C,0,[],Integer overflow in the drm_mode_dirtyfb_ioctl function in drivers/gpu/drm/drm_crtc.c in the Direct Rendering Manager (DRM) subsystem in the Linux kernel before 3.1.5 allows local users to gain privileges or cause a denial of service (memory corruption) via a crafted ioctl call.
CVE-2012-0038,CWE-189,2012-05-17,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,10,[],"Integer overflow in the xfs_acl_from_disk function in fs/xfs/xfs_acl.c in the Linux kernel before 3.1.9 allows local users to cause a denial of service (panic) via a filesystem with a malformed ACL, leading to a heap-based buffer overflow."
CVE-2012-0037,CWE-200,2012-06-16,,4.3,Medium,Partial,,,Medium,+Info ,raptor,C,0,[],"Redland Raptor (aka libraptor) before 2.0.7, as used by OpenOffice 3.3 and 3.4 Beta, LibreOffice before 3.4.6 and 3.5.x before 3.5.1, and other products, allows user-assisted remote attackers to read arbitrary files via a crafted XML external entity (XXE) declaration and reference in an RDF document."
CVE-2012-0036,CWE-89,2012-04-13,,7.5,High,Partial,Partial,Partial,Low,Sql ,curl,C,0,[],"curl and libcurl 7.2x before 7.24.0 do not properly consider special characters during extraction of a pathname from a URL, which allows remote attackers to conduct data-injection attacks via a crafted URL, as demonstrated by a CRLF injection attack on the (1) IMAP, (2) POP3, or (3) SMTP protocol."
CVE-2012-0028,CWE-264,2012-06-21,,7.2,High,Complete,Complete,Complete,Low,DoS +Priv ,linux,C,0,[],"The robust futex implementation in the Linux kernel before 2.6.28 does not properly handle processes that make exec system calls, which allows local users to cause a denial of service or possibly gain privileges by writing to a memory location in a child process."
CVE-2011-4914,CWE-20,2012-06-21,,6.4,Medium,Partial,,Partial,Low,DoS +Info ,linux,C,0,[],"The ROSE protocol implementation in the Linux kernel before 2.6.39 does not verify that certain data-length values are consistent with the amount of data sent, which might allow remote attackers to obtain sensitive information from kernel memory or cause a denial of service (out-of-bounds read) via crafted data to a ROSE socket."
CVE-2011-4913,CWE-20,2012-06-21,,7.8,High,,,Complete,Low,DoS Overflow Mem. Corr. ,linux,C,10,[],"The rose_parse_ccitt function in net/rose/rose_subr.c in the Linux kernel before 2.6.39 does not validate the FAC_CCITT_DEST_NSAP and FAC_CCITT_SRC_NSAP fields, which allows remote attackers to (1) cause a denial of service (integer underflow, heap memory corruption, and panic) via a small length value in data sent to a ROSE socket, or (2) conduct stack-based buffer overflow attacks via a large length value in data sent to a ROSE socket."
CVE-2011-4621,,2012-05-17,,4.9,Medium,,,Complete,Low,DoS Exec Code ,linux,C,0,[],"The Linux kernel before 2.6.37 does not properly implement a certain clock-update optimization, which allows local users to cause a denial of service (system hang) via an application that executes code in a loop."
CVE-2011-4611,CWE-189,2012-05-17,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,0,[],Integer overflow in the perf_event_interrupt function in arch/powerpc/kernel/perf_event.c in the Linux kernel before 2.6.39 on powerpc platforms allows local users to cause a denial of service (unhandled performance monitor exception) via vectors that trigger certain outcomes of performance events.
CVE-2011-4594,,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"The __sys_sendmsg function in net/socket.c in the Linux kernel before 3.1 allows local users to cause a denial of service (system crash) via crafted use of the sendmmsg system call, leading to an incorrect pointer dereference."
CVE-2011-4326,CWE-399,2012-05-17,,7.1,High,,,Complete,Medium,DoS ,linux,C,10,[],"The udp6_ufo_fragment function in net/ipv6/udp.c in the Linux kernel before 2.6.39, when a certain UDP Fragmentation Offload (UFO) configuration is enabled, allows remote attackers to cause a denial of service (system crash) by sending fragmented IPv6 UDP packets to a bridge device."
CVE-2011-4324,,2012-06-21,,4.9,Medium,,,Complete,Low,DoS ,linux,C,0,[],The encode_share_access function in fs/nfs/nfs4xdr.c in the Linux kernel before 2.6.29 allows local users to cause a denial of service (BUG and system crash) by using the mknod system call with a pathname on an NFSv4 filesystem.
CVE-2011-4131,CWE-189,2012-05-17,,4.6,Medium,,,Complete,High,DoS ,linux,C,0,[],"The NFSv4 implementation in the Linux kernel before 3.2.2 does not properly handle bitmap sizes in GETACL replies, which allows remote NFS servers to cause a denial of service (OOPS) by sending an excessive number of bitmap words."
CVE-2011-4127,CWE-264,2012-07-03,,4.6,Medium,Partial,Partial,Partial,Low,Bypass ,linux,C,0,[],"The Linux kernel before 3.2.2 does not properly restrict SG_IO ioctl calls, which allows local users to bypass intended restrictions on disk read and write operations by sending a SCSI command to (1) a partition block device or (2) an LVM volume."
CVE-2011-4112,CWE-264,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,0,[],"The net subsystem in the Linux kernel before 3.1 does not properly restrict use of the IFF_TX_SKB_SHARING flag, which allows local users to cause a denial of service (panic) by leveraging the CAP_NET_ADMIN capability to access /proc/net/pktgen/pgctrl, and then using the pktgen package in conjunction with a bridge device for a VLAN interface."
CVE-2011-4097,CWE-189,2012-05-17,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,10,[],Integer overflow in the oom_badness function in mm/oom_kill.c in the Linux kernel before 3.1.8 on 64-bit platforms allows local users to cause a denial of service (memory consumption or process termination) by using a certain large amount of memory.
CVE-2011-4086,CWE-119,2012-07-03,,4.9,Medium,,,Complete,Low,DoS Overflow ,linux,C,10,[],"The journal_unmap_buffer function in fs/jbd2/transaction.c in the Linux kernel before 3.3.1 does not properly handle the _Delay and _Unwritten buffer head states, which allows local users to cause a denial of service (system crash) by leveraging the presence of an ext4 filesystem that was mounted with a journal."
CVE-2011-4081,,2012-05-24,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],"crypto/ghash-generic.c in the Linux kernel before 3.1 allows local users to cause a denial of service (NULL pointer dereference and OOPS) or possibly have unspecified other impact by triggering a failed or missing ghash_setkey function call, followed by a (1) ghash_update function call or (2) ghash_final function call, as demonstrated by a write operation on an AF_ALG socket."
CVE-2011-4080,CWE-264,2012-05-24,,4.0,Medium,Complete,,,High,Bypass ,linux,C,10,[],"The sysrq_sysctl_handler function in kernel/sysctl.c in the Linux kernel before 2.6.39 does not require the CAP_SYS_ADMIN capability to modify the dmesg_restrict value, which allows local users to bypass intended access restrictions and read the kernel ring buffer by leveraging root privileges, as demonstrated by a root user in a Linux Containers (aka LXC) environment."
CVE-2011-3637,CWE-20,2012-05-17,,4.9,Medium,,,Complete,Low,DoS ,linux,C,10,[],The m_stop function in fs/proc/task_mmu.c in the Linux kernel before 2.6.39 allows local users to cause a denial of service (OOPS) via vectors that trigger an m_start error.
CVE-2011-3363,CWE-20,2012-05-24,,5.4,Medium,,,Complete,High,DoS ,linux,C,10,[],"The setup_cifs_sb function in fs/cifs/connect.c in the Linux kernel before 2.6.39 does not properly handle DFS referrals, which allows remote CIFS servers to cause a denial of service (system crash) by placing a referral at the root of a share."
